RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-071477,2012/08/03 00:00:00+00,1625,"O,33 to 34",INJURY,REAR END,3,3,NO,NO,NO,NO,NO,YES,NO,4417
B2-072473,2012/08/06 00:00:00+00,935,S 10 - S 11 at H - LINCOLN MALL,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4418
B2-072480,2012/08/06 00:00:00+00,954,"NORMAL,FRANKLIN to SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4419
B2-071482,2012/08/03 00:00:00+00,750,1128 L at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4420
B2-071492,2012/08/03 00:00:00+00,1655,"O,30 to 31",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4421
B2-072484,2012/08/06 00:00:00+00,1014,"S 27,SOUTHRIDGE to PINE LAKE",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4422
B2-071514,2012/08/03 00:00:00+00,1721,1701 WASHINGTON at RUSSS MARKET,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4423
B2-072488,2012/08/06 00:00:00+00,1025,"CORNHUSKER,N 23 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4424
B2-071524,2012/08/03 00:00:00+00,1830,4700 VINE at TACO JOHNS,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,4425
B2-072506,2012/08/06 00:00:00+00,9999,8800 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4426
B2-071560,2012/08/03 00:00:00+00,1900,"N 27,OLD DAIRY RD to DAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4427
B2-072527,2012/08/06 00:00:00+00,1245,33 at O,NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4428
B2-071564,2012/08/03 00:00:00+00,9999,UNKNOWN at -,INJURY,UNKNOWN,2,1,NO,NO,NO,NO,NO,NO,NO,4429
B2-072546,2012/08/06 00:00:00+00,1421,"S 17,M to N",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,4430
B2-071781,2012/08/04 00:00:00+00,945,S 11 at G,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4431
B2-072557,2012/08/06 00:00:00+00,1424,"O,17 to 18",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4432
B2-072561,2012/08/06 00:00:00+00,1431,S 48 at VAN DORN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4433
B2-071825,2012/08/04 00:00:00+00,1130,"S 16 & S 17,EUCLID & to PROSPECT",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4434
B2-072591,2012/08/06 00:00:00+00,610,"S 48,OLD CHENEY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4435
B2-071828,2012/08/04 00:00:00+00,1145,"GRAND OAKS CR,S 76 to E DEAD END",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4436
B2-072597,2012/08/06 00:00:00+00,1615,"7800 FREMONT, to",NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,4437
B2-071856,2012/08/04 00:00:00+00,1315,"O,19 to 20",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4438
B2-071859,2012/08/04 00:00:00+00,1325,56 at O,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,4439
B2-072598,2012/08/06 00:00:00+00,1626,25 at O,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,NO,NO,4440
B2-072604,2012/08/06 00:00:00+00,1635,"S 10,N to O",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4441
B2-071918,2012/08/04 00:00:00+00,1613,333 N 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4442
B2-072607,2012/08/06 00:00:00+00,1646,"O,25 to 26",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4443
B2-071925,2012/08/04 00:00:00+00,1656,2400 N at FAILY DOLLAR LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4444
B2-072609,2012/08/06 00:00:00+00,1644,"S 48,ANTELOPE CREEK to VAN DORN",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4445
B2-071940,2012/08/04 00:00:00+00,1755,O at COTNER,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,4446
B2-072615,2012/08/06 00:00:00+00,1651,"N 62,BALLARD to HAVELOCK",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4447
B2-071942,2012/08/04 00:00:00+00,1800,"S 27,MANSE to SHERIDAN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4448
B2-072617,2012/08/06 00:00:00+00,1657,N 19 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4449
B2-071944,2012/08/03 00:00:00+00,9999,6800 P ST at PARKING LOT,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,4450
B2-072618,2012/08/06 00:00:00+00,1713,S 17 - S 20 at PROSPECT-SUMNER,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4451
B2-071952,2012/08/04 00:00:00+00,1200,233 N 48 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4452
B2-072626,2012/08/06 00:00:00+00,9999,R - S at N 28 - N 30,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4453
B2-071965,2012/08/05 00:00:00+00,9999,"SCOTT,LAKE to SMITH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4454
B2-071966,2012/08/04 00:00:00+00,1929,"S 56,LASALLE to SPRUCE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4455
B2-072639,2012/08/06 00:00:00+00,1800,"HAVELOCK,CORNHUSKER to TOUZALIN",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4456
B2-072680,2012/08/06 00:00:00+00,1950,1245 S FOLSOM at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4457
B2-072000,2012/08/04 00:00:00+00,2115,"O,84 to RUSSWOOD PKWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4458
B2-072693,2012/08/06 00:00:00+00,9999,VAN DORN at SHERIDAN,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,4459
B2-072008,2012/08/04 00:00:00+00,2154,1534 E at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4460
B2-072077,2012/08/05 00:00:00+00,132,"S 84,OLD CHENEY to FOXTAIL DR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4461
B2-072708,2012/08/07 00:00:00+00,2109,N 1 at DAWES,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,YES,NO,4462
B2-068530,2012/07/26 00:00:00+00,1613,"OLD CHENEY,HICKORY CREST to S 70",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4463
B2-069585,,9999,5505 S 31 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4464
B2-072730,2012/08/06 00:00:00+00,2215,N 14 at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4465
B2-072078,2012/08/05 00:00:00+00,134,"S 70,YANKEE WOODS DR to REBEL DR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4466
B2-068545,2012/07/26 00:00:00+00,9999,"N 15,SALIDA DR to JULESBURG DR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4467
B2-069589,2012/07/29 00:00:00+00,1425,"S 27,ALPHA to E",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,4468
B2-072153,2012/08/05 00:00:00+00,853,S 16 at M,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4469
B2-072741,2012/08/06 00:00:00+00,2319,S 40 at NEBR HWY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,YES,NO,4470
B2-070338,2012/07/31 00:00:00+00,1725,"S 14,CUSHMAN to SALT VALLEY VIEW",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4471
B2-068568,2012/07/26 00:00:00+00,1755,"O,11 to 12",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4472
B2-069617,2012/07/29 00:00:00+00,1625,"FREMONT,N 84 to N 85",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4473
B2-072772,2012/08/07 00:00:00+00,10,2516 NW 8 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4474
B2-072165,2012/08/05 00:00:00+00,945,"BALDWIN,N 41 to N 42",INJURY H&R,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,4475
B2-068605,2012/07/26 00:00:00+00,1200,"O,38 to 40",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,NO,NO,4476
B2-069634,2012/07/29 00:00:00+00,1715,"R,N 46 to N 48",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4477
B2-072778,2012/08/07 00:00:00+00,349,"HIGH,S 44 to S 46",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4478
B2-068607,2012/07/26 00:00:00+00,1953,"N 64,KEARNEY to LOGAN",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4479
B2-072184,2012/08/05 00:00:00+00,1208,N 41 at MADISON,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4480
B2-072793,2012/08/07 00:00:00+00,630,"S 52,HAPPY HOLLOW LN to MADALYN",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4481
B2-069646,2012/07/29 00:00:00+00,1845,S 16 at J,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4482
B2-067698,2012/07/23 00:00:00+00,1102,8700 ANDERMATT at -,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,YES,NO,4483
B2-068614,2012/07/26 00:00:00+00,2020,"N 17,PREAMBLE LN to MEADOW LARK RD",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4484
B2-072190,2012/08/05 00:00:00+00,1234,"S 52,NEWTON to SOUTH",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4485
B2-072794,2012/08/07 00:00:00+00,9999,"BENTON,N 10 to N 11",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4486
B2-069648,2012/07/29 00:00:00+00,1948,"N 14,ADAMS to NELSON",NON-INJ,DRIVEWAY,4,0,NO,NO,NO,NO,NO,NO,NO,4487
B2-068628,2012/07/26 00:00:00+00,2050,N 1 at CORNHUSKER,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,4488
B2-072200,2012/08/05 00:00:00+00,1300,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4489
B2-070502,2012/08/01 00:00:00+00,612,CHERRYWOOD at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4490
B2-073866,2012/08/10 00:00:00+00,846,"S 21,DEAD END to SUMNER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4491
B2-069653,2012/07/29 00:00:00+00,1,315 W CHARLESTON at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4492
B2-072808,2012/08/07 00:00:00+00,800,"N 27,APPLE to Y",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4493
B2-067702,2012/07/24 00:00:00+00,9999,3630 CORNHUSKER at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,4494
B2-072203,2012/08/05 00:00:00+00,1311,"A,S 33 to S 35",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4495
B2-068654,2012/07/26 00:00:00+00,2151,"S 28,ARLINGTON to FRANKLIN",INJURY,RAN OFF ROAD,2,1,NO,NO,NO,NO,NO,NO,NO,4496
B2-070542,2012/08/01 00:00:00+00,840,"W SOUTH,SW 6 to S FOLSOM",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,4497
B2-073902,2012/08/10 00:00:00+00,1027,"N 56,S to T",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4498
B2-072825,2012/08/07 00:00:00+00,905,"SUPERIOR,N 24 to N 27",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,4499
B2-069670,,9999,201 ADAMS at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4500
B2-072233,2012/08/05 00:00:00+00,1520,"S 40,DUXHALL DR to FAULKNER DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4501
B2-068717,2012/07/26 00:00:00+00,2345,"CHARLESTON,N 10 to N 12",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,4502
B2-072857,2012/08/07 00:00:00+00,1126,N 14 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4503
B2-069673,2012/07/29 00:00:00+00,2005,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4504
B2-070576,2012/08/01 00:00:00+00,2100,1420 K at ST MARY'S CHURCH,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,4505
B2-073903,2012/08/10 00:00:00+00,1025,"N 46,ADAMS to CLEVELAND",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4506
B2-068731,2012/07/27 00:00:00+00,215,"S 13,ARAPAHOE to CALVERT",INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,4507
B2-072858,2012/08/07 00:00:00+00,1140,"N 27,P to Q",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4508
B2-072241,,9999,S 14 at SALT VALLEY VIEW,NON-INJ H&R,TURNING,1,0,NO,NO,NO,NO,NO,NO,NO,4509
B2-069681,2012/07/29 00:00:00+00,2030,"D,S 5 to S 6",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,4510
B2-070609,2012/08/01 00:00:00+00,1130,W VAN DORN at FOLSOM CONNECTOR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4511
B2-073945,2012/08/10 00:00:00+00,1211,"G,S 19 to S 20",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4512
B2-068787,2012/07/27 00:00:00+00,906,N COTNER at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4513
B2-072247,2012/08/05 00:00:00+00,1608,"N 70,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4514
B2-069707,2012/07/29 00:00:00+00,2220,"C,S 33 to S 35",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4515
B2-072871,2012/08/07 00:00:00+00,1240,"N 48,FREMONT to HARTLEY",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4516
B2-070626,2012/08/01 00:00:00+00,1205,"W DAWES,NW 10 to W CORNHUSKER",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4517
B2-068793,2012/07/27 00:00:00+00,937,"S 84,PIONEERS to PRESCOTT",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,4518
B2-072276,2012/08/05 00:00:00+00,1747,"S 27,H to J",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4519
B2-073959,2012/08/10 00:00:00+00,1259,S 33 at SHERIDAN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4520
B2-067707,2012/07/24 00:00:00+00,1228,"S 11,A to B",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4521
B2-072955,2012/08/07 00:00:00+00,1640,"S 40,FRANKLIN to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4522
B2-069854,2012/07/30 00:00:00+00,1145,"FAIRFAX,N 65 to N COTNER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4523
B2-070627,2012/08/01 00:00:00+00,1210,"N 48,HUNTINGTON to WALKER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4524
B2-072872,2012/08/07 00:00:00+00,1235,"N 27,T to VINE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4525
B2-068806,2012/07/27 00:00:00+00,1012,"S 10,N to O",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,4526
B2-073969,2012/08/10 00:00:00+00,1331,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4527
B2-072281,2012/08/04 00:00:00+00,2245,"SALT VALLEY VIEW,CLEARVIEW to OLD CHENEY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4528
B2-067709,2012/07/23 00:00:00+00,1930,2343 N 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4529
B2-072963,2012/08/07 00:00:00+00,1659,"S 48,ANTELOPE CREEK to NORMAL",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4530
B2-069855,2012/07/30 00:00:00+00,1216,"N 8,R to S",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4531
B2-070628,2012/08/01 00:00:00+00,1210,S 10 at D,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4532
B2-072882,2012/08/07 00:00:00+00,1305,O at COTNER,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4533
B2-068808,2012/07/27 00:00:00+00,1015,"N 27,TICONDEROGA to SUPERIOR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4534
B2-072283,2012/08/05 00:00:00+00,1805,"W LAKE,SW 19 to S CODDINGTON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4535
B2-073987,2012/08/10 00:00:00+00,1400,"S 27,EASTGATE to ROYAL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4536
B2-067730,2012/07/24 00:00:00+00,9999,8900 ANDERMATT at -,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,NO,NO,4537
B2-072967,2012/08/07 00:00:00+00,1710,"S 16,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4538
B2-069861,2012/07/27 00:00:00+00,9999,"T,N 27 to N 28",INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,4539
B2-070637,2012/08/01 00:00:00+00,1234,"S 48,M to O",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4540
B2-068814,2012/07/27 00:00:00+00,1037,S 46 at CALVERT,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4541
B2-073998,2012/08/10 00:00:00+00,1451,"S 70,S WEDGEWOOD to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4542
B2-072290,2012/08/05 00:00:00+00,1830,"N 27,CORNHUSKER to KNOX",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4543
B2-072883,2012/08/07 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,4544
B2-067736,2012/07/24 00:00:00+00,1335,"SOUTH,PEPPER to S 27",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4545
B2-073028,2012/08/07 00:00:00+00,2015,"S 27,ALPHA to E",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4546
B2-069863,2012/07/30 00:00:00+00,1250,PIONEERS at STACY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,4547
B2-070645,2012/08/01 00:00:00+00,1254,"N 27,FAIRFIELD to KNOX",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,4548
B2-072292,2012/08/05 00:00:00+00,1838,S 87 at NEBR HWY,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4549
B2-068843,2012/07/27 00:00:00+00,1250,N 40 at CORNHUSKER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,4550
B2-074001,2012/08/10 00:00:00+00,1455,"NEBR HWY,S 48 to S 56",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4551
B2-072888,2012/08/07 00:00:00+00,1340,"O,40 to 42",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,4552
B2-067739,2012/07/24 00:00:00+00,1340,"N 27,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4553
B2-069877,2012/07/30 00:00:00+00,9999,4700 N 27 at WAL-MART,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4554
B2-070649,,9999,"S 32,PRESCOTT to S 32 CR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4555
B2-073135,2012/08/08 00:00:00+00,711,"HAVELOCK,CORNHUSKER to TOUZALIN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4556
B2-068850,2012/07/27 00:00:00+00,1316,"N 35,T to VINE",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4557
B2-072332,2012/08/05 00:00:00+00,2044,N 5 at ADAMS,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,4558
B2-072903,2012/08/07 00:00:00+00,1405,7121 A at -,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,YES,NO,4559
B2-067752,2012/07/24 00:00:00+00,1420,"P,CENTENNIAL MALL to N 16",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4560
B2-074006,2012/08/10 00:00:00+00,1430,"S 42 CT,BRIARPARK to DEAD END",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4561
B2-070659,2012/08/01 00:00:00+00,1338,"S 17,K to L",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,4562
B2-069882,2012/07/30 00:00:00+00,1355,S 26 at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4563
B2-073137,2012/08/08 00:00:00+00,729,"N 27,WHITEHEAD DR to WILDCAT DR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,4564
B2-072924,2012/08/07 00:00:00+00,1519,"A,S 21 to S 22",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,4565
B2-068858,2012/07/27 00:00:00+00,9999,233 N 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4566
B2-067753,2012/07/24 00:00:00+00,745,1600 S 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4567
B2-074011,2012/08/10 00:00:00+00,1431,8900 ANDERMATT at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,4568
B2-069888,2012/07/30 00:00:00+00,1414,"O,63 to EASTRIDGE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4569
B2-070700,2012/08/01 00:00:00+00,1552,"SUPERIOR,N 48 to N 56",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,4570
B2-068859,2012/07/27 00:00:00+00,9999,2600 S 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4571
B2-072930,2012/08/07 00:00:00+00,1522,"N 27,FAIRFIELD to OLD DAIRY RD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,4572
B2-074018,2012/08/10 00:00:00+00,1536,"M,S 10 to S 11",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,4573
B2-067759,2012/07/24 00:00:00+00,1445,4735 S 54 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,4574
B2-073144,2012/08/08 00:00:00+00,730,"MADISON,N 54 to N 56",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,4575
B2-069898,2012/07/30 00:00:00+00,1440,S 27 at J,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4576
B2-070712,2012/08/01 00:00:00+00,1617,N 29 at DUDLEY,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,4577
B2-068872,2012/07/27 00:00:00+00,1430,N 27 at R,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,4578
B2-072934,,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4579
B2-067768,2012/07/24 00:00:00+00,1552,"HAVELOCK,N 84 to N 73",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,4580
B2-074052,2012/08/10 00:00:00+00,1655,"S 17,M to N",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4581
B2-069902,2012/07/30 00:00:00+00,1456,"N 27 ACCESS,THERESA to KIMCO PL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4582
B2-070719,2012/07/31 00:00:00+00,2200,"S 28,A to WASHINGTON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4583
B2-073158,2012/08/08 00:00:00+00,912,S 69 at PIONEERS,INJURY,DRIVEWAY,2,3,NO,NO,NO,NO,NO,YES,NO,4584
B2-068880,2012/07/24 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,4585
B2-072936,2012/08/07 00:00:00+00,1552,"VINE,EL AVADO to MAHONEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4586
B2-074060,2012/08/10 00:00:00+00,1715,1701 PINE LAKE at -,INJURY,,2,1,NO,NO,NO,NO,NO,NO,NO,4587
B2-067789,2012/07/24 00:00:00+00,1655,S 9 at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,4588
B2-069914,2012/07/30 00:00:00+00,1523,"S 56,ELKCREST to LASALLE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,4589
B2-070722,2012/08/01 00:00:00+00,1656,S 26 at A,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,4590
